ATF	1.0
30	57    
"Type=GenePix Export 3"
"DateTime=2020/07/24 16:49:01"
"Settings=D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\Genepix settings\2020-07-24-10288622-D0-1.gps"
"GalFile="
"PixelSize=10"
"Wavelengths=532	635"
"ImageFiles=D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\scanned images\2020-07-24-10288622-D0-1.tif 1	D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\scanned images\2020-07-24-10288622-D0-1.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1	1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (532/635)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=530, 2800"
"Creator=GenePix Pro 7.3.0.0"
"Scanner=GenePix 4400 [140135]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=580	600"
"ScanPower=100	100"
"LaserPower=1.85	1.42"
"Filters=Standard Green	Standard Red"
"ScanRegion=0,0,2200,7200"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F532 Total Intensity"	"F635 Total Intensity"	"SNR 532"	"SNR 635"	"Ratio of Medians (532/635)"	"Ratio of Means (532/635)"	"Median of Ratios (532/635)"	"Mean of Ratios (532/635)"	"Ratios SD (532/635)"	"Rgn Ratio (532/635)"	"Rgn R2 (532/635)"	"Log Ratio (532/635)"	"F532 Median - B532"	"F635 Median - B635"	"F532 Mean - B532"	"F635 Mean - B635"	"Sum of Medians (532/635)"	"Sum of Means (532/635)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	1	10	2	""	""	3400	3470	180	181	228	544	238	70	70	74	33	44	88	73	0	381	520	944	181	80	80	102	121	118	90	69	0	58453	133000	4.667	3.455	0.369	0.359	0.362	0.348	2.027	0.523	0.820	-1.439	111	301	158	440	412	598	256	1109	100	25
0	0	0	1	11	2	""	""	3660	3470	180	174	196	98	50	72	72	76	31	40	86	72	0	274	346	281	81	86	86	114	124	108	75	30	0	50057	88463	3.871	1.871	0.543	0.477	0.561	0.500	2.584	0.254	0.319	-0.882	102	188	124	260	290	384	256	1132	100	26
0	0	0	1	12	2	""	""	3940	3460	180	170	183	110	60	67	67	71	31	43	84	73	0	388	448	408	91	82	82	109	123	112	83	61	0	46757	114747	3.613	2.756	0.337	0.317	0.343	0.342	2.326	0.213	0.454	-1.571	103	306	116	366	409	482	256	1176	100	27
0	0	0	1	13	2	""	""	4210	3470	190	1491	1494	541	36	62	62	68	33	48	99	98	0	65535	59216	13009	21	83	83	136	281	206	100	100	55	382460	15159409	43.212	210.249	0.022	0.024	0.023	0.022	1.571	0.024	0.838	-5.517	1429	65452	1432	59133	66881	60565	256	1185	100	28
0	0	0	1	14	2	""	""	4480	3470	190	1327	1416	630	44	62	62	66	28	42	99	98	0	64954	57627	13885	24	100	100	148	274	185	100	100	46	362451	14752400	48.214	209.777	0.020	0.024	0.021	0.021	1.797	0.024	0.842	-5.680	1265	64854	1354	57527	66119	58881	256	1104	100	29
0	0	0	1	15	2	""	""	4740	3470	180	1530	1642	835	50	57	57	67	151	225	95	93	0	64940	55793	18051	32	93	93	185	1150	621	100	98	44	420266	14283040	10.430	48.355	0.023	0.028	0.024	0.026	1.799	0.028	0.762	-5.460	1473	64847	1585	55700	66320	57285	256	1300	100	30
0	0	0	1	1	3	""	""	970	3760	190	559	560	282	50	54	54	59	29	49	92	91	0	512	610	684	112	86	86	101	99	98	88	84	0	143342	156035	17.276	5.141	1.185	0.966	1.137	1.123	1.696	0.515	0.447	0.245	505	426	506	524	931	1030	256	1482	100	31
0	0	0	1	2	3	""	""	1230	3760	190	537	560	310	55	55	55	59	24	40	93	91	0	464	473	231	48	86	86	100	103	103	87	80	0	143340	120998	20.875	3.621	1.275	1.305	1.280	1.294	1.653	1.151	0.667	0.351	482	378	505	387	860	892	256	1209	100	32
0	0	0	1	3	3	""	""	1500	3760	190	556	664	481	72	55	55	60	24	40	92	89	0	603	702	680	96	101	101	108	49	45	89	88	0	169983	179827	25.167	12.122	0.998	1.013	1.041	0.962	1.944	0.221	0.170	-0.003	501	502	609	601	1003	1210	256	1239	100	33
0	0	0	1	4	3	""	""	1780	3740	170	1197	1498	831	55	60	60	64	26	40	100	100	0	1091	1268	643	50	114	114	130	69	53	100	99	0	311603	263773	55.154	16.493	1.164	1.246	1.311	1.188	1.864	1.305	0.840	0.219	1137	977	1438	1154	2114	2592	208	1148	100	34
