ATF	1.0
30	57    
"Type=GenePix Export 3"
"DateTime=2020/07/24 16:49:01"
"Settings=D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\Genepix settings\2020-07-24-10288622-D0-1.gps"
"GalFile="
"PixelSize=10"
"Wavelengths=532	635"
"ImageFiles=D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\scanned images\2020-07-24-10288622-D0-1.tif 1	D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\scanned images\2020-07-24-10288622-D0-1.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1	1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (532/635)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=530, 2800"
"Creator=GenePix Pro 7.3.0.0"
"Scanner=GenePix 4400 [140135]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=580	600"
"ScanPower=100	100"
"LaserPower=1.85	1.42"
"Filters=Standard Green	Standard Red"
"ScanRegion=0,0,2200,7200"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F532 Total Intensity"	"F635 Total Intensity"	"SNR 532"	"SNR 635"	"Ratio of Medians (532/635)"	"Ratio of Means (532/635)"	"Median of Ratios (532/635)"	"Mean of Ratios (532/635)"	"Ratios SD (532/635)"	"Rgn Ratio (532/635)"	"Rgn R2 (532/635)"	"Log Ratio (532/635)"	"F532 Median - B532"	"F635 Median - B635"	"F532 Mean - B532"	"F635 Mean - B635"	"Sum of Medians (532/635)"	"Sum of Means (532/635)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	11	15	20	""	""	12720	35280	140	37927	29399	25251	85	66	66	77	104	135	94	88	5	2016	1899	1792	94	66	66	77	66	85	86	75	0	4586297	296281	281.942	27.606	19.416	16.003	14.858	11.794	2.785	16.274	0.847	4.279	37861	1950	29333	1833	39811	31166	156	996	100	3750
0	0	0	11	1	21	""	""	8940	35560	180	210	506	807	159	98	98	118	176	149	32	19	0	329	1006	1733	172	81	81	107	282	263	45	24	0	129531	257655	2.205	3.188	0.452	0.441	0.465	0.503	3.239	0.398	0.602	-1.147	112	248	408	925	360	1333	256	1408	100	3751
0	0	0	11	2	21	""	""	9210	35560	180	203	848	1760	207	133	133	172	317	184	22	18	0	287	1560	3389	217	92	92	177	651	367	23	19	0	217082	399345	2.132	2.124	0.359	0.487	0.437	0.430	3.531	0.414	0.574	-1.478	70	195	715	1468	265	2183	256	1280	100	3752
0	0	0	11	3	21	""	""	9490	35560	170	265	1003	1970	196	138	138	188	359	190	27	20	0	317	1993	4309	216	102	102	228	856	375	24	20	0	208658	414616	2.270	2.062	0.591	0.457	0.667	0.565	3.506	0.374	0.604	-0.760	127	215	865	1891	342	2756	208	1144	100	3753
0	0	0	11	4	21	""	""	9750	35560	180	767	2489	4028	161	143	143	160	187	116	73	62	0	580	833	1556	186	108	108	149	521	349	48	23	0	637177	213258	12.455	1.313	1.322	3.236	1.466	1.796	3.043	2.990	0.420	0.403	624	472	2346	725	1096	3071	256	1247	100	3754
0	0	0	11	5	21	""	""	10020	35560	180	625	2469	4218	170	146	146	150	45	30	91	86	0	553	726	570	78	107	107	111	39	35	88	84	0	632043	185830	51.533	15.769	1.074	3.753	1.244	1.660	3.501	9.849	0.372	0.103	479	446	2323	619	925	2942	256	1246	100	3755
0	0	0	11	6	21	""	""	10290	35560	170	750	2011	2959	147	125	125	130	49	37	97	93	0	580	730	578	79	96	96	101	39	38	96	94	0	418317	151829	38.388	16.128	1.291	2.975	1.373	1.599	2.830	6.714	0.396	0.369	625	484	1886	634	1109	2520	208	1138	100	3756
0	0	0	11	7	21	""	""	10550	35560	170	30956	25706	16978	66	69	69	81	44	54	97	93	0	3610	3139	2095	66	73	73	80	43	53	89	86	0	5346899	652960	582.386	71.140	8.733	8.362	8.120	6.950	2.218	8.494	0.948	3.126	30887	3537	25637	3066	34424	28703	208	1115	100	3757
0	0	0	11	8	21	""	""	10820	35560	160	32319	26674	17287	64	52	52	56	25	44	95	93	0	4466	3996	2861	71	55	55	62	38	61	89	83	0	5548197	831119	1064.720	103.526	7.315	6.755	6.541	5.897	2.250	6.743	0.918	2.871	32267	4411	26622	3941	36678	30563	208	1093	100	3758
0	0	0	11	9	21	""	""	11090	35560	170	30862	25832	14871	57	49	49	53	23	43	96	93	0	3681	3148	1770	56	53	53	58	32	55	90	88	0	5372988	654876	1120.826	96.563	8.493	8.331	8.297	7.343	2.132	8.667	0.929	3.086	30813	3628	25783	3095	34441	28878	208	1128	100	3759
0	0	0	11	10	21	""	""	11350	35550	170	869	692	446	64	48	48	52	21	40	84	80	0	788	704	448	63	56	56	60	25	41	88	84	0	143913	146515	30.476	25.760	1.122	0.994	0.969	0.893	1.945	0.993	0.849	0.166	821	732	644	648	1553	1292	208	1166	100	3760
0	0	0	11	11	21	""	""	11610	35560	170	832	717	332	46	51	51	56	23	41	88	86	0	791	685	324	47	61	61	67	40	59	86	85	0	149147	142525	28.739	15.450	1.070	1.067	1.068	1.068	1.561	1.040	0.915	0.097	781	730	666	624	1511	1290	208	1172	100	3761
0	0	0	11	12	21	""	""	11890	35560	160	887	696	409	58	56	56	61	26	42	85	82	0	750	664	410	61	63	63	71	45	63	85	82	0	144828	138025	24.423	13.178	1.210	1.065	1.091	1.039	1.795	1.037	0.883	0.275	831	687	640	601	1518	1241	208	1192	100	3762
0	0	0	11	13	21	""	""	12180	35550	170	513	513	395	76	58	58	62	27	43	79	74	0	968	1028	883	85	61	61	65	31	47	86	82	0	106664	213793	16.704	31.065	0.502	0.471	0.528	0.458	2.431	0.428	0.816	-0.995	455	907	455	967	1362	1422	208	1347	100	3763
0	0	0	11	14	21	""	""	12450	35560	190	340	426	311	73	56	56	60	26	43	87	82	0	520	830	874	105	55	55	60	27	45	91	88	0	109040	212490	14.077	28.519	0.611	0.477	0.566	0.525	2.411	0.369	0.774	-0.711	284	465	370	775	749	1145	256	1525	100	3764
0	0	0	11	15	21	""	""	12710	35550	170	313	431	355	82	55	55	58	24	41	94	91	0	487	937	1182	126	56	56	60	25	41	98	94	0	89627	194954	15.542	35.080	0.599	0.427	0.593	0.576	2.127	0.304	0.741	-0.740	258	431	376	881	689	1257	208	1379	100	3765
0	0	0	11	1	22	""	""	8940	35830	170	210	503	670	133	69	69	124	322	259	36	20	0	336	445	446	100	82	82	129	334	258	42	20	0	104686	92576	1.177	0.946	0.555	1.196	0.816	0.854	2.718	1.153	0.562	-0.849	141	254	434	363	395	797	208	1304	100	3766
0	0	0	11	2	22	""	""	9210	35830	170	247	604	922	152	81	81	151	390	258	31	17	0	296	381	327	85	88	88	159	539	338	18	3	0	125599	79144	1.162	0.412	0.798	1.785	1.221	1.103	2.613	1.277	0.510	-0.325	166	208	523	293	374	816	208	1196	100	3767
0	0	0	11	3	22	""	""	9480	35830	170	272	772	1278	165	86	86	176	488	277	38	24	0	598	1705	3763	220	105	105	305	1038	340	39	24	0	160490	354607	1.221	1.349	0.377	0.429	0.589	0.470	3.585	0.244	0.331	-1.406	186	493	686	1600	679	2286	208	1198	100	3768
0	0	0	11	4	22	""	""	9750	35850	180	114	177	138	77	91	91	111	149	134	29	7	0	161	194	123	63	108	108	143	395	276	2	0	0	45262	49674	0.443	0.129	0.434	1.000	1.114	0.940	3.310	0.786	0.308	-1.204	23	53	86	86	76	172	256	1184	100	3769
0	0	0	11	5	22	""	""	10000	35840	180	108	159	121	76	98	98	107	52	48	39	29	0	140	175	120	68	104	104	114	88	77	29	15	0	40705	44806	1.000	0.693	0.278	0.859	1.143	1.106	3.518	0.494	0.188	-1.848	10	36	61	71	46	132	256	1172	100	3770
0	0	0	11	6	22	""	""	10270	35840	180	112	294	1193	405	82	82	116	262	225	11	4	0	147	186	165	88	95	95	108	130	120	24	7	0	75274	47729	0.679	0.600	0.577	2.330	1.000	1.020	3.318	9.380	0.427	-0.794	30	52	212	91	82	303	256	1339	100	3771
0	0	0	11	7	22	""	""	10570	35830	170	1267	1267	983	77	65	65	143	483	337	71	64	0	602	902	1263	140	74	74	133	520	390	50	18	0	263515	187646	2.327	1.479	2.277	1.452	2.183	1.654	2.717	0.684	0.311	1.187	1202	528	1202	828	1730	2030	208	1233	100	3772
0	0	0	11	8	22	""	""	10830	35860	180	1407	1592	1015	63	59	59	85	237	278	87	86	0	745	1884	3367	178	65	65	108	479	443	64	41	0	407613	482420	6.359	3.708	1.982	0.843	1.877	1.429	2.680	0.293	0.325	0.987	1348	680	1533	1819	2028	3352	256	1330	100	3773
0	0	0	11	9	22	""	""	11100	35850	180	1380	1439	966	67	49	49	56	27	48	88	87	0	778	2208	3473	157	55	55	62	41	66	88	86	0	368460	565236	51.222	52.341	1.841	0.646	1.565	1.180	2.972	0.287	0.434	0.880	1331	723	1390	2153	2054	3543	256	1239	100	3774
0	0	0	11	10	22	""	""	11350	35840	180	63	99	213	215	46	46	50	21	42	44	27	0	73	133	262	196	54	54	60	60	100	28	12	0	25425	34017	2.333	1.217	0.895	0.671	0.700	0.659	3.964	0.719	0.522	-0.160	17	19	53	79	36	132	256	1286	100	3775
0	0	0	11	11	22	""	""	11620	35830	180	64	111	229	206	46	46	50	23	46	44	29	0	94	232	751	323	57	57	69	96	139	26	14	0	28369	59338	2.652	1.698	0.486	0.371	0.548	0.553	3.935	0.095	0.089	-1.040	18	37	65	175	55	240	256	1314	100	3776
0	0	0	11	12	22	""	""	11890	35840	180	63	89	70	78	47	47	51	29	56	39	25	0	83	151	204	135	58	58	74	159	214	19	8	0	22851	38780	1.310	0.484	0.640	0.452	0.539	0.512	3.594	0.144	0.357	-0.644	16	25	42	93	41	135	256	1329	100	3777
0	0	0	11	13	22	""	""	12150	35860	170	107	145	138	95	49	49	55	36	65	63	43	0	160	294	556	189	60	60	80	193	241	27	13	0	30156	61054	2.500	1.109	0.580	0.410	0.565	0.570	3.733	0.101	0.164	-0.786	58	100	96	234	158	330	208	1174	100	3778
0	0	0	11	14	22	""	""	12420	35860	160	112	183	245	133	48	48	54	30	55	67	51	0	156	271	392	144	56	56	74	137	185	38	20	0	38007	56278	4.300	1.438	0.640	0.628	0.697	0.669	3.003	0.402	0.424	-0.644	64	100	135	215	164	350	208	1156	100	3779
0	0	0	11	15	22	""	""	12700	35860	160	98	128	109	85	46	46	51	22	43	72	55	0	121	302	1054	349	57	57	74	118	159	32	14	0	26573	62752	3.500	1.932	0.813	0.335	0.730	0.659	4.215	0.018	0.021	-0.300	52	64	82	245	116	327	208	1278	100	3780
0	0	0	11	1	23	""	""	8910	36110	180	498	501	221	44	57	57	763	3491	457	0	0	0	413	610	698	114	79	79	302	1072	354	12	4	0	128345	156204	-0.075	0.287	1.320	0.836	1.217	1.123	2.143	0.557	0.415	0.401	441	334	444	531	775	975	256	1616	100	3781
0	0	0	11	2	23	""	""	9180	36110	180	519	539	413	76	61	61	943	3961	420	0	0	0	433	881	3551	403	90	90	362	1251	345	8	1	0	137927	225657	-0.102	0.415	1.335	0.604	1.165	1.130	2.103	0.101	0.295	0.417	458	343	478	791	801	1269	256	1433	100	3782
0	0	0	11	3	23	""	""	9450	36110	180	568	661	487	73	62	62	957	4055	423	0	0	0	412	678	855	126	103	103	425	1327	312	11	4	0	169215	173447	-0.073	0.191	1.638	1.042	1.429	1.380	2.045	0.564	0.631	0.712	506	309	599	575	815	1174	256	1455	100	3783
0	0	0	11	4	23	""	""	9730	36110	180	545	556	159	28	66	66	283	1015	358	0	0	0	441	579	390	67	110	110	268	1021	380	12	0	0	142306	148276	0.269	0.305	1.447	1.045	1.333	1.287	1.861	3.024	0.289	0.533	479	331	490	469	810	959	256	1357	100	3784
0	0	0	11	5	23	""	""	9990	36110	180	500	512	185	36	68	68	222	756	340	5	0	0	404	609	1116	183	104	104	188	373	198	33	15	0	131073	155870	0.384	1.129	1.440	0.879	1.343	1.244	1.981	1.120	0.086	0.526	432	300	444	505	732	949	256	1352	100	3785
0	0	0	11	6	23	""	""	10270	36110	180	522	577	460	79	72	72	249	916	367	4	1	0	353	481	510	106	104	104	213	566	265	12	6	0	147765	123203	0.358	0.473	1.807	1.340	1.787	1.718	2.107	1.063	0.285	0.854	450	249	505	377	699	882	256	1490	100	3786
0	0	0	11	7	23	""	""	10570	36110	170	347	726	924	127	80	80	169	501	296	30	16	0	337	1301	2362	181	93	93	171	648	378	24	18	0	151031	270606	1.112	1.744	1.094	0.535	1.079	0.992	2.878	0.355	0.599	0.130	267	244	646	1208	511	1854	208	1367	100	3787
0	0	0	11	8	23	""	""	10830	36130	170	419	866	899	103	81	81	95	197	207	77	44	0	346	1781	2510	140	78	78	90	84	93	99	77	0	180183	370470	3.914	20.131	1.261	0.461	0.855	0.826	2.680	0.340	0.690	0.335	338	268	785	1703	606	2488	208	1293	100	3788
0	0	0	11	9	23	""	""	11100	36110	170	318	657	999	152	62	62	84	215	255	56	25	0	398	632	697	110	64	64	74	63	85	91	86	0	136586	131463	2.665	8.857	0.766	1.048	0.836	0.803	2.013	1.569	0.669	-0.384	256	334	595	568	590	1163	208	1242	100	3789
0	0	0	11	10	23	""	""	11360	36140	180	276	265	153	57	45	45	54	64	118	75	70	0	436	398	242	60	54	54	59	38	64	81	77	0	67774	101805	3.297	8.921	0.605	0.640	0.634	0.638	1.926	0.609	0.844	-0.726	231	382	220	344	613	564	256	1459	100	3790
0	0	0	11	11	23	""	""	11630	36140	180	333	302	153	50	42	42	46	19	41	89	86	0	484	439	233	53	55	55	64	85	132	81	78	0	77263	112401	13.474	4.412	0.678	0.677	0.698	0.711	1.959	0.646	0.845	-0.560	291	429	260	384	720	644	256	1440	100	3791
0	0	0	11	12	23	""	""	11890	36140	180	349	318	195	61	43	43	47	19	40	88	80	0	500	455	265	58	57	57	63	39	61	82	80	0	81339	116526	14.263	10.051	0.691	0.691	0.692	0.688	1.795	0.675	0.776	-0.534	306	443	275	398	749	673	256	1416	100	3792
0	0	0	11	13	23	""	""	12170	36120	200	36035	27993	15573	55	46	46	51	32	62	98	96	0	17088	16628	11151	67	61	61	80	166	207	92	88	0	8845714	5254445	873.188	99.687	2.114	1.687	1.894	1.630	2.226	1.630	0.874	1.080	35989	17027	27947	16567	53016	44514	316	1629	100	3793
0	0	0	11	14	23	""	""	12440	36120	190	37582	34579	8344	24	46	46	50	21	42	100	100	0	19440	20832	8735	41	60	60	72	59	81	100	100	0	8852157	5333087	1644.238	351.864	1.937	1.662	1.833	1.773	1.543	1.603	0.839	0.954	37536	19380	34533	20772	56916	55305	256	1454	100	3794
0	0	0	11	15	23	""	""	12710	36120	190	35856	32106	9829	30	46	46	50	21	42	100	100	0	18385	19308	8394	43	59	59	72	64	88	100	100	0	8219173	4942745	1526.476	300.563	1.954	1.666	1.817	1.714	1.561	1.626	0.882	0.966	35810	18326	32060	19249	54136	51309	256	1696	100	3795
0	0	0	12	1	1	""	""	16950	30180	180	734	735	415	56	52	52	55	23	41	93	93	0	1416	1403	621	44	88	88	94	42	44	97	96	0	188077	359157	29.565	31.167	0.514	0.519	0.523	0.460	1.911	0.556	0.825	-0.961	682	1328	683	1315	2010	1998	256	1464	100	3796
0	0	0	12	2	1	""	""	17220	30180	180	726	724	322	44	57	57	60	24	40	94	92	0	1274	1271	553	43	91	91	98	38	38	95	95	0	185457	325428	27.667	30.868	0.566	0.565	0.554	0.541	1.564	0.552	0.847	-0.822	669	1183	667	1180	1852	1847	256	1271	100	3797
0	0	0	12	3	1	""	""	17490	30180	180	681	679	321	47	64	64	68	31	45	93	91	0	1174	1147	482	42	119	119	182	941	517	62	3	0	173894	293638	19.710	1.026	0.585	0.598	0.607	0.587	1.765	0.393	0.552	-0.774	617	1055	615	1028	1672	1643	256	1300	100	3798
0	0	0	12	4	1	""	""	17750	30180	180	558	515	219	42	71	71	77	35	45	88	86	0	505	508	231	45	144	144	177	489	276	22	1	0	131891	130112	12.514	0.677	1.349	1.220	1.276	1.098	2.074	0.139	0.099	0.432	487	361	444	364	848	808	256	1347	100	3799
0	0	0	12	5	1	""	""	18020	30190	190	527	505	146	28	60	60	65	30	46	96	96	0	436	452	137	30	96	96	109	57	52	99	98	0	129185	115789	14.667	6.018	1.374	1.250	1.280	1.202	1.802	1.260	0.792	0.458	467	340	445	356	807	801	256	1384	100	3800
0	0	0	12	6	1	""	""	18290	30180	200	458	392	199	50	52	52	55	24	43	84	80	0	390	358	169	47	75	75	79	32	40	86	82	0	123878	113130	14.042	8.719	1.289	1.201	1.230	1.107	2.261	1.208	0.825	0.366	406	315	340	283	721	623	316	1532	100	3801
0	0	0	12	7	1	""	""	18560	30180	200	369	360	201	55	54	54	58	37	63	85	81	0	509	511	281	54	74	74	83	128	154	82	78	0	113610	161596	8.162	3.344	0.724	0.700	0.692	0.688	1.954	0.681	0.859	-0.466	315	435	306	437	750	743	316	1464	100	3802
0	0	0	12	8	1	""	""	18830	30180	200	444	514	1256	244	57	57	62	55	88	82	78	0	658	830	1896	228	83	83	96	143	148	82	79	0	162577	262202	8.218	5.133	0.673	0.612	0.671	0.607	2.084	0.634	0.868	-0.571	387	575	457	747	962	1204	316	1521	100	3803
0	0	0	12	9	1	""	""	19110	30180	190	524	518	243	46	55	55	58	47	81	93	91	0	692	719	285	39	78	78	86	69	80	97	95	0	132570	184012	9.787	9.174	0.764	0.722	0.732	0.640	1.910	0.741	0.859	-0.389	469	614	463	641	1083	1104	256	1421	100	3804
0	0	0	12	10	1	""	""	19380	30180	190	971	916	322	35	51	51	55	22	40	97	95	0	622	613	190	30	75	75	81	37	45	98	97	0	234565	156833	39.136	14.378	1.682	1.608	1.636	1.533	1.570	1.687	0.882	0.750	920	547	865	538	1467	1403	256	1413	100	3805
0	0	0	12	11	1	""	""	19650	30180	190	1099	1019	332	32	52	52	56	21	37	97	96	0	698	704	288	40	75	75	80	33	41	98	97	0	260790	180241	45.857	18.909	1.681	1.537	1.639	1.486	1.732	1.417	0.733	0.749	1047	623	967	629	1670	1596	256	1408	100	3806
0	0	0	12	12	1	""	""	19910	30180	190	1420	1365	807	59	53	53	57	21	36	96	95	0	865	1148	3366	293	73	73	78	32	41	97	96	0	349530	293955	62.286	33.438	1.726	1.220	1.656	1.492	1.725	0.203	0.193	0.787	1367	792	1312	1075	2159	2387	256	1444	100	3807
0	0	0	12	13	1	""	""	20190	30180	190	1361	1461	712	48	56	56	60	23	38	97	96	0	1917	2025	894	44	72	72	77	32	41	97	97	0	374066	518326	60.913	60.875	0.707	0.719	0.717	0.659	1.718	0.736	0.924	-0.500	1305	1845	1405	1953	3150	3358	256	1473	100	3808
0	0	0	12	14	1	""	""	20460	30180	190	1458	1467	578	39	57	57	62	40	64	96	96	0	1874	2007	800	39	75	75	83	73	87	99	98	0	375533	513750	35.125	26.356	0.779	0.730	0.761	0.662	1.942	0.728	0.919	-0.361	1401	1799	1410	1932	3200	3342	256	1403	100	3809
0	0	0	12	15	1	""	""	20720	30180	180	1336	1396	654	46	57	57	64	71	110	93	93	0	1517	1676	867	51	76	76	116	472	406	91	89	0	357360	429140	18.761	3.305	0.888	0.837	0.877	0.821	1.454	0.655	0.735	-0.172	1279	1441	1339	1600	2720	2939	256	1512	100	3810
0	0	0	12	1	2	""	""	16940	30430	190	662	592	305	51	53	53	62	53	85	84	82	0	854	792	392	49	89	89	99	64	64	87	83	0	151531	202858	10.000	10.828	0.796	0.767	0.783	0.688	1.873	0.752	0.889	-0.329	609	765	539	703	1374	1242	256	1385	100	3811
0	0	0	12	2	2	""	""	17190	30430	200	598	524	308	58	58	58	68	63	92	77	76	0	753	678	384	56	91	91	104	71	68	80	78	0	165649	214152	7.238	8.085	0.816	0.794	0.798	0.736	1.939	0.788	0.886	-0.294	540	662	466	587	1202	1053	316	1197	100	3812
0	0	0	12	3	2	""	""	17470	30440	200	657	592	303	51	70	70	76	41	53	84	83	0	864	802	395	49	140	140	163	99	60	84	82	0	187180	253362	12.585	6.455	0.811	0.789	0.812	0.790	1.693	0.760	0.876	-0.303	587	724	522	662	1311	1184	316	1274	100	3813
0	0	0	12	4	2	""	""	17750	30450	180	2157	2555	1942	76	93	93	97	38	39	95	91	0	2379	2966	2078	70	225	225	254	131	51	95	91	0	654177	759395	64.684	20.702	0.958	0.898	0.946	0.765	2.220	0.929	0.831	-0.062	2064	2154	2462	2741	4218	5203	256	1197	100	3814
0	0	0	12	5	2	""	""	18020	30440	180	1873	2098	1547	73	73	73	81	39	48	88	86	0	1842	2325	1679	72	131	131	172	121	70	88	87	0	537171	595211	51.718	17.793	1.052	0.923	1.063	0.876	2.048	1.072	0.776	0.073	1800	1711	2025	2194	3511	4219	256	1193	100	3815
0	0	0	12	6	2	""	""	18300	30450	180	1874	2474	2173	87	58	58	61	27	44	94	92	0	1878	2575	2114	82	81	81	87	37	42	98	96	0	633299	659306	89.370	67.243	1.011	0.969	0.999	0.821	2.037	0.998	0.862	0.015	1816	1797	2416	2494	3613	4910	256	1192	100	3816
0	0	0	12	7	2	""	""	18570	30440	180	793	3079	4826	156	56	56	58	22	37	86	84	0	693	2751	4254	154	72	72	76	31	40	91	88	0	788254	704136	137.318	86.290	1.187	1.128	1.126	1.042	1.711	1.135	0.979	0.247	737	621	3023	2679	1358	5702	256	1118	100	3817
0	0	0	12	8	2	""	""	18830	30440	180	620	2494	4519	181	54	54	58	51	87	87	86	0	694	2375	4013	168	73	73	83	78	93	89	86	0	638363	607878	47.765	29.385	0.911	1.060	0.987	0.843	1.927	1.116	0.969	-0.134	566	621	2440	2302	1187	4742	256	1153	100	3818
0	0	0	12	9	2	""	""	19110	30440	180	1580	5414	5860	108	54	54	58	51	87	85	83	0	1603	4807	5041	104	74	74	83	79	95	87	85	0	1385878	1230519	105.020	59.797	0.998	1.132	1.079	0.901	1.929	1.153	0.978	-0.003	1526	1529	5360	4733	3055	10093	256	1161	100	3819
0	0	0	12	10	2	""	""	19370	30440	180	173	190	111	58	54	54	57	22	38	85	82	0	423	434	225	51	74	74	78	34	43	89	86	0	48560	111161	6.045	10.471	0.341	0.378	0.381	0.366	2.069	0.370	0.732	-1.552	119	349	136	360	468	496	256	1121	100	3820
0	0	0	12	11	2	""	""	19630	30440	180	183	682	4314	632	54	54	58	22	37	89	85	0	428	1154	5207	451	73	73	78	34	43	88	86	0	174672	295504	28.364	31.647	0.363	0.581	0.387	0.387	1.907	0.805	0.810	-1.460	129	355	628	1081	484	1709	256	1155	100	3821
0	0	0	12	12	2	""	""	19910	30440	180	175	544	2864	526	54	54	57	21	36	88	85	0	432	1241	5628	453	70	70	74	34	45	91	88	0	139161	317620	23.190	34.324	0.334	0.418	0.336	0.336	1.878	0.438	0.634	-1.581	121	362	490	1171	483	1661	256	1183	100	3822
0	0	0	12	13	2	""	""	20180	30450	190	1239	1284	705	54	55	55	60	31	51	96	95	0	65501	56277	17696	31	68	68	76	46	60	100	100	48	328810	14406804	39.484	1221.761	0.018	0.022	0.019	0.020	1.597	0.022	0.793	-5.788	1184	65433	1229	56209	66617	57438	256	1255	100	3823
0	0	0	12	14	2	""	""	20450	30440	190	1423	1330	599	45	53	53	62	51	82	94	93	0	49421	46599	17090	36	69	69	99	251	253	99	96	14	340418	11929321	24.863	185.259	0.028	0.027	0.027	0.026	1.832	0.026	0.805	-5.171	1370	49352	1277	46530	50722	47807	256	1218	100	3824
0	0	0	12	15	2	""	""	20710	30440	180	1245	1479	2979	201	51	51	59	75	127	91	91	0	59173	50608	19771	39	75	75	125	505	404	95	93	30	378657	12955551	18.933	99.966	0.020	0.028	0.022	0.025	1.899	0.028	0.180	-5.629	1194	59098	1428	50533	60292	51961	256	1336	100	3825
0	0	0	12	1	3	""	""	16950	30720	190	966	1005	450	44	56	56	64	51	79	96	96	0	1084	1242	637	51	83	83	91	61	67	100	100	0	257190	318002	18.451	18.869	0.909	0.819	0.862	0.781	1.708	0.781	0.899	-0.138	910	1001	949	1159	1911	2108	256	1481	100	3826
0	0	0	12	2	3	""	""	17210	30720	190	819	861	269	31	61	61	67	40	59	100	99	0	859	1103	1993	180	88	88	92	48	52	100	100	0	220411	282315	19.850	21.063	0.983	0.788	0.970	0.925	1.600	0.152	0.159	-0.025	758	771	800	1015	1529	1815	256	1218	100	3827
0	0	0	12	3	3	""	""	17480	30720	190	881	929	321	34	79	79	85	35	41	100	100	0	962	1025	343	33	158	158	189	119	62	100	100	0	237718	262342	24.114	7.025	0.998	0.980	0.993	0.958	1.461	0.966	0.850	-0.004	802	804	850	867	1606	1717	256	1249	100	3828
0	0	0	12	4	3	""	""	17750	30710	170	1198	1496	991	66	116	116	120	44	36	92	90	0	1565	1913	1106	57	354	354	365	138	37	95	91	0	311114	397819	31.273	11.217	0.893	0.885	0.909	0.784	1.954	0.913	0.912	-0.162	1082	1211	1380	1559	2293	2939	208	1142	100	3829
0	0	0	12	5	3	""	""	18020	30710	170	1596	1671	1037	62	98	98	103	45	43	92	90	0	1866	2054	1143	55	243	243	271	153	56	94	92	0	347627	427261	34.844	11.654	0.923	0.869	0.873	0.792	1.681	0.899	0.895	-0.116	1498	1623	1573	1811	3121	3384	208	1172	100	3830
0	0	0	12	6	3	""	""	18290	30710	170	1168	1423	769	54	66	66	70	28	40	94	94	0	1387	1571	893	56	102	102	115	57	49	98	96	0	295884	326778	48.321	25.544	0.858	0.924	0.989	0.857	1.827	0.923	0.888	-0.222	1102	1285	1357	1469	2387	2826	208	1143	100	3831
0	0	0	12	7	3	""	""	18570	30720	190	366	342	115	33	58	58	61	24	39	91	90	0	403	395	124	31	78	78	84	37	44	95	93	0	87531	101010	11.708	8.405	0.948	0.896	0.903	0.886	1.884	0.904	0.817	-0.078	308	325	284	317	633	601	256	1271	100	3832
0	0	0	12	8	3	""	""	18830	30720	190	359	343	110	32	53	53	56	21	37	95	93	0	463	471	174	36	76	76	81	37	45	96	95	0	87719	120470	13.667	10.541	0.791	0.734	0.779	0.736	1.626	0.678	0.752	-0.339	306	387	290	395	693	685	256	1228	100	3833
0	0	0	12	9	3	""	""	19100	30710	190	365	333	121	36	55	55	58	22	37	93	89	0	467	449	156	34	78	78	83	46	55	94	91	0	85182	114926	12.500	7.957	0.797	0.749	0.782	0.723	1.918	0.742	0.800	-0.328	310	389	278	371	699	649	256	1274	100	3834
0	0	0	12	10	3	""	""	19370	30710	180	465	1019	1462	143	58	58	61	22	36	95	91	0	246	738	1143	154	79	79	82	31	37	94	88	0	260989	188861	43.545	21.161	2.437	1.458	1.982	1.862	2.175	1.328	0.936	1.285	407	167	961	659	574	1620	256	1210	100	3835
0	0	0	12	11	3	""	""	19650	30710	190	477	1024	1320	128	58	58	60	23	38	96	95	0	283	729	999	137	76	76	81	34	41	95	90	0	262151	186742	41.913	19.059	2.024	1.479	1.798	1.837	2.135	1.380	0.927	1.017	419	207	966	653	626	1619	256	1261	100	3836
0	0	0	12	12	3	""	""	19910	30710	190	439	951	1336	140	55	55	58	22	37	95	94	0	233	637	980	153	71	71	76	33	43	93	89	0	243480	163039	40.591	17.000	2.370	1.583	2.133	2.079	2.256	1.431	0.916	1.245	384	162	896	566	546	1462	256	1255	100	3837
